0,1,2,3,4,5,6,7,8,9
2.5793612,0.32847285,3.2829201,0.47983295,3.4855134,1.8767831,2.0413902,0.17891443,1.0463315,0.42807922
1.5898598,0.0,8.186169,0.0,5.3892937,3.2761474,11.49964,7.282443,12.085668,0.0
7.199991,0.4855087,5.2266498,1.8660305,4.0035563,3.0521564,0.0,0.0,3.2175033,0.0
0.0,0.0,0.0,5.18816,3.4867797,0.0,5.3862686,3.5199673,0.0,9.599493
2.921206,0.47674432,3.6792727,0.7439252,3.9665456,2.029121,2.14359,0.052008186,1.254817,0.30707806
11.79189,0.0,7.736535,2.9367673,10.987617,0.0,1.6242934,7.707736,11.855499,0.0
2.3693063,0.67750853,3.174104,0.61356163,3.315892,1.3851151,2.0409758,0.0,1.0786481,0.33609796
5.0355353,0.0,10.078704,0.0,1.0458994,5.361276,1.9741489,8.676887,3.9595401,0.0
2.782174,0.48900285,3.6153002,0.6749463,3.807458,1.9128338,2.1130073,0.034475926,1.1971701,0.31180766
0.0,0.0,0.0,2.505792,9.582174,6.0109544,4.3150644,10.351948,0.0,8.109941
0.7251241,0.0,5.2114973,0.0,0.5683018,1.7049878,0.0,0.0,0.6825757,1.5710305
6.933525,4.466407,2.4531934,0.0,0.0,0.0,0.0,0.0,3.130634,0.0
0.0,0.0,0.0,0.0,3.519807,0.0,0.0,0.0,7.108417,0.0
2.8186262,0.0,1.9181504,1.499982,0.20533079,0.74940056,0.0,0.0,1.4328622,0.0
5.789387,0.2864172,12.565631,0.0,4.624881,6.0643115,6.316335,1.4058423,9.956886,0.0
3.5738876,0.0,3.532445,10.544885,2.8789432,3.5032592,0.0,0.0,0.0,0.0
1.0642415,0.0,4.5233693,0.0,0.0,3.9557679,0.8999001,0.46721497,1.7271842,0.0
1.9984742,0.0,2.131181,0.22707483,2.4239807,0.94268745,1.3834273,0.39319366,1.0890701,0.40105549
2.4352102,0.64432925,2.9713175,0.24779055,3.0204017,1.789417,1.8648775,0.005348526,1.1200981,0.33484498
0.7251241,0.0,5.2114973,0.0,0.5683018,1.7049878,0.0,0.0,0.6825757,1.5710305
10.080244,0.0,4.437171,0.9503607,7.5515156,8.750086,0.0,0.0,8.983587,0.0
1.203505,0.0,0.0,0.0,5.145417,2.6883564,1.2983716,1.0787073,0.0,6.086234
0.34347346,0.0,0.0,13.156311,1.9227103,5.0954514,2.4840786,1.7909136,0.0,5.484047
2.921206,0.47674432,3.6792727,0.7439252,3.9665456,2.029121,2.14359,0.052008186,1.254817,0.30707806
1.1282799,0.0,4.756844,0.0,0.9596839,1.2356138,0.0,0.0,0.0,1.7026646
3.3664958,0.038047858,0.0,0.0,1.2970158,1.447867,0.86082375,0.0,5.6780734,0.0
2.782174,0.48900285,3.6153002,0.6749463,3.807458,1.9128338,2.1130073,0.034475926,1.1971701,0.31180766
2.921206,0.47674432,3.6792727,0.7439252,3.9665456,2.029121,2.14359,0.052008186,1.254817,0.30707806
0.0,2.546864,7.929476,0.0,1.8220067,3.8430374,6.8945246,2.4303124,0.0,7.426081
2.6538184,0.69706297,3.2378116,0.0,3.8259435,2.808697,1.3593845,0.5353435,0.0,1.140502
9.333051,0.0,0.0,7.8257313,3.4672875,0.49659553,0.0,0.0,5.4274154,0.0
0.2732163,0.0,0.0,8.032843,13.346698,4.9300194,2.812675,5.546643,0.0,3.904415
6.473359,0.63897324,3.5142596,1.6614683,1.654418,0.84232324,1.2336181,0.0,0.0,2.000312
3.3856368,0.0,0.0,0.0,0.0,0.7027244,1.1634336,0.0,0.0,0.0
2.921206,0.47674432,3.6792727,0.7439252,3.9665456,2.029121,2.14359,0.052008186,1.254817,0.30707806
1.5226569,0.0,8.144453,0.0,6.5446806,11.059786,1.4481773,2.9719532,3.850053,1.4154719
