IDs,tsne dim 1,tsne dim 2,Clusters
IT-01-0113-H1,4.7980943,-21.281094,1
GR-02-0461-H1,-13.308251,-7.7375793,-1
AT-01-0117-H1,-3.8500304,17.957325,5
US-01-0097-H1,-2.2699854,-1.19276,-1
NL-01-0971-H1,-14.499758,-10.065203,11
DE-03-2468-H1,2.175602,4.503725,7
SE-01-0444-H1,2.3591776,-18.904423,0
UK-03-0075-H1,-3.8511415,17.953928,5
DK-01-1519-H1,-3.8468332,17.967484,5
DK-01-0827-H1,-3.850043,17.957289,5
GR-03-0224-H1,-3.8477552,17.96489,5
SE-01-1226-H1,-3.8527803,17.948763,5
GR-01-0707-H1,-3.8472774,17.967173,5
GR-02-0612-H1,-3.847491,17.966307,5
GR-01-0226-H1,-3.754174,18.170153,5
DE-02-1939-H1,-3.7441,18.186039,5
DK-01-1016-H1,-3.849745,17.958216,5
CZ-01-1302-H2,-13.62796,-1.9531517,-1
US-01-0339-H1,-3.8555126,17.940056,5
SE-01-1017-H1,-3.8471532,17.96694,5
DK-01-0607-H1,-14.77619,-11.791065,-1
GR-02-0330-H1,-10.120969,-8.292202,9
CZ-01-1778-H1,-3.8521535,17.950233,5
DE-02-2239-H1,-3.8520675,17.950684,5
DE-02-1979-H1,-1.4042654,-14.142411,-1
DE-02-0206-H1,4.469093,-2.328012,7
GR-02-0434-H1,-3.847097,17.966967,5
IT-07-0094-H1,-3.8550715,17.941706,5
RU-01-0551-H1,-20.441193,-6.8046594,-1
DK-01-0389-H1,6.33958,-21.467808,1
DE-02-1904-H1,-9.062744,-0.8474134,10
IT-07-0180-H1,2.2544563,-5.9782486,-1
DE-03-4661-H1,-11.935208,-4.47092,-1
DE-03-4641-H1,-15.682652,-16.195702,16
SE-01-0110-H1,-3.8505795,17.955751,5
FR-01-0269-H1,-3.8506444,17.955122,5
CZ-01-0420-H1,-2.7544963,-3.9763658,-1
FR-01-0495-H1,-17.647156,-6.368777,-1
UK-01-0450-H1,-8.370474,1.0157564,10
DE-02-3776-H1,-3.0270545,4.919892,-1
DE-02-2989-H1,2.40464,-16.135437,0
DE-01-0164-H1,-3.8522594,17.949503,5
NL-01-0365-H1,-3.8509617,17.954597,5
IT-01-0425-H1,5.1204,-23.371986,1
IT-02-0596-H1,-3.846817,17.967627,5
US-01-1000-H1,-3.8494353,17.95944,5
FR-01-0209-H1,-3.8475323,17.965252,5
NY-01-0939-H1,-3.337097,-0.87769604,-1
ES-01-0483-H1,-11.47715,0.20505221,10
CZ-01-0935-H1,-3.8512144,17.953543,5
NY-01-0870-H1,-3.8553257,17.940908,5
AT-01-0235-H1,-3.7433045,18.187197,5
DE-02-4775-H1,-7.9691257,-3.739535,10
FR-01-1042-H1,-17.5292,-3.9928985,-1
US-01-0138-H1,-14.991428,-6.0393023,-1
DE-02-4990-H1,2.3610778,-17.232939,0
DK-01-1103-H1,-3.8472574,17.966223,5
NL-01-1256-H1,5.992154,-5.889199,-1
DE-02-0454-H1,-10.253367,1.2191206,-1
CZ-01-1734-H1,-3.8507705,17.954815,5
UK-01-0125-H1,-3.855446,17.940248,5
FR-01-0027-H1,-3.8506064,17.955248,5
DE-02-1826-H1,2.3477004,-17.207148,0
IT-02-0351-H1,-18.836163,-0.7319066,-1
IT-01-0039-H1,-3.8514743,17.95274,5
NL-01-0802-H1,-9.672161,-3.9543107,-1
IT-01-0438-H1,-18.674953,2.2846377,14
DE-02-3395-H1,-3.8476446,17.965082,5
DK-01-0313-H1,-3.8552856,17.940521,5
DK-01-1420-H1,-13.5072365,-0.28003135,-1
DE-02-5018-H1,-3.8468535,17.967237,5
AT-01-0091-H1,-3.8535388,17.946558,5
NL-01-0568-H1,-17.96567,-13.233092,15
DE-02-4846-H1,2.4046247,-16.13543,0
IT-05-0251-H1,-3.7445486,18.185432,5
DE-02-3616-H1,-7.9720435,6.4243526,-1
ES-01-0458-H1,-3.7552686,18.167938,5
DE-03-4754-H1,-13.627957,-1.9531614,-1
UK-03-0282-H1,8.213111,-2.5236056,-1
DE-02-4039-H1,-6.917333,-0.000110316,-1
DE-03-1140-H1,-18.45638,2.8760574,14
UK-01-0528-H1,0.60690874,3.9089997,7
SE-01-0689-H2,-3.8481803,17.963165,5
SE-01-0732-H1,-14.9333515,-0.1413475,-1
GR-01-0709-H1,-6.119063,-8.678799,-1
US-01-0822-H1,2.5102298,-2.1262007,7
US-01-0936-H1,-19.331894,-5.9147825,-1
DE-02-5171-H1,-3.8496394,17.958292,5
IT-07-0002-H1,-3.8462496,17.969404,5
DE-02-1403-H1,-16.327042,-3.9108837,-1
DE-03-1481-H1,-3.850709,17.954842,5
DE-03-3261-H1,-11.937954,-4.472059,-1
NY-01-1093-H1,-3.8556848,17.93936,5
DE-02-4416-H1,-17.229607,2.5174658,14
GR-01-0188-H1,-3.8496609,17.958328,5
SE-01-0755-H1,2.34773,-17.207165,0
FR-01-0412-H1,-3.7494545,18.177723,5
NL-01-0763-H1,4.3246384,-16.29053,-1
FR-01-0538-H1,-3.8556592,17.93947,5
GR-01-0588-H1,-3.8511577,17.95399,5
US-01-0969-H1,-3.8504832,17.955734,5
