Cluster,1,2,4,5,6,8,10,12,14,16,31,59,73,77,99,111,169,188,201,252,148B,28A,3C1,3C2,64B,7B1,7C1-24,8B,99-3-3,
-1,356,251,17,21,140,18,25,11,5,7,35,15,10,1,72,5,41,7,8,5,5,7,11,12,10,6,9,9,9,4699
0,6,51,35,0,1,0,0,0,10,10,0,22,7,25,2,10,1,10,14,4,20,0,0,0,2,0,0,0,2,2429
1,7,68,83,0,0,0,0,1,11,14,0,21,13,30,1,12,4,19,19,19,41,0,0,0,2,0,0,0,1,3649
2,9,88,65,1,1,0,0,0,21,25,1,23,19,40,0,8,6,18,13,20,49,1,0,0,0,0,0,0,0,4169
3,0,0,0,29,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,16,0,11,10,0,0,361
4,1,0,0,38,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,29,0,22,18,0,0,658
5,1,6,7,0,0,0,0,0,4,3,0,4,1,5,0,2,0,2,3,2,7,0,0,0,0,1,0,0,1,506
6,4,31,19,0,0,0,0,0,6,8,0,9,4,13,1,3,5,4,5,8,20,0,0,0,1,0,0,0,1,1594
7,0,0,0,42,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,28,0,26,20,0,0,715
8,0,0,0,19,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,4,8,0,0,229
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,235
10,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481
11,56,1,0,1,2,0,0,0,0,0,0,0,0,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,197
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,379
13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,37,657
14,2,49,5,0,0,1,0,0,3,1,0,0,2,7,0,0,1,8,5,1,2,0,0,0,0,0,0,1,0,739
15,26,6,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,258
16,1,3,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,260
17,13,0,3,0,0,0,0,34,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,191
18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,191
19,0,0,0,0,0,127,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,386
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,188
21,33,0,0,0,0,0,0,3,2,0,0,1,1,1,7,3,0,0,0,0,1,0,0,0,0,0,0,0,1,388
22,10,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,0,168
23,0,5,10,0,0,0,0,0,5,3,0,0,2,4,0,0,0,0,2,3,3,0,0,0,0,0,0,0,1,449
24,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,2,3,0,0,0,3,0,0,0,0,0,0,1,0,373
25,104,0,0,0,0,0,0,8,0,0,0,3,0,0,13,0,0,0,0,0,0,38,0,0,0,0,1,0,0,133
26,14,0,0,0,0,2,0,12,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,314
27,0,61,12,0,0,0,0,0,0,7,5,0,0,0,0,1,0,0,0,3,0,1,1,2,3,1,0,0,0,261
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,465
29,0,140,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,438
